time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/23:59:29.989780,5736,1645937969,989486932,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.129335314035,0.16297338903,0.159247949719,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.269244581461,0.334927469492,0.0733411610126
2022/02/26/23:59:30.119801,5737,1645937970,119266986,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.128683820367,0.1622826159,0.161552518606,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.270235389471,0.334150820971,0.0787382572889
2022/02/26/23:59:30.253114,5738,1645937970,252774000,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.128015473485,0.162022128701,0.163142383099,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.271327674389,0.334307819605,0.0842756554484
2022/02/26/23:59:30.387343,5739,1645937970,385900020,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.128053680062,0.161712393165,0.164070039988,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.27297976613,0.334237545729,0.0882049426436
2022/02/26/23:59:30.523735,5740,1645937970,523397922,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.12815348804,0.162351131439,0.164082184434,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.27524009347,0.335132390261,0.0924590826035
2022/02/26/23:59:30.668815,5741,1645937970,668342113,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.128471747041,0.163015350699,0.163560569286,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.277319729328,0.336257040501,0.0962320715189
2022/02/26/23:59:30.806668,5742,1645937970,805658102,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.12910284102,0.163011327386,0.163617044687,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.27963039279,0.336414813995,0.100194483995
2022/02/26/23:59:30.938528,5743,1645937970,937520027,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.129128783941,0.163561299443,0.163593113422,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.281345188618,0.336760103703,0.103812932968
2022/02/26/23:59:31.077362,5744,1645937971,77022075,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.128774151206,0.163813725114,0.164099529386,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.281768172979,0.337030798197,0.10676600039
2022/02/26/23:59:31.210884,5745,1645937971,210104942,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.128243863583,0.164014652371,0.164892569184,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.282344132662,0.336799353361,0.109380796552
